insurance_validity,fuel_type,kms_driven,ownsership,transmission,price(in lakhs)
0,0,90576,1,0,3.37
0,1,44000,1,1,44.0
0,0,49000,1,0,4.25
0,0,40678,1,0,9.24
0,0,32000,1,0,2.2
0,0,27500,1,0,10.5
0,0,92539,1,0,5.28
0,0,21000,1,1,48.0
0,0,6000,1,0,6.95
0,0,5000,1,1,26.5
0,0,16570,1,0,5.23
0,0,11000,1,0,5.75
0,0,39791,1,0,6.92
0,1,138000,1,0,6.95
0,0,3000,1,1,4.0
0,0,94176,1,0,2.67
0,0,11000,1,1,1.47
0,0,30000,1,0,13.25
0,0,49594,1,0,13.37
0,0,60000,1,0,2.7
0,0,76441,1,0,3.26
1,1,75000,2,1,17.75
0,0,53000,1,1,3.95
0,0,56572,1,0,9.31
0,0,27210,1,0,6.0
0,0,56000,1,1,45.75
0,0,62677,1,0,4.92
0,0,18000,1,0,7.5
0,1,35000,1,1,45.0
0,0,5000,1,1,26.5
0,0,16570,1,0,5.23
0,0,11000,1,0,5.75
0,0,39791,1,0,6.92
0,1,138000,1,0,6.95
0,0,3000,1,1,4.0
0,0,94176,1,0,2.67
0,0,11000,1,1,1.47
0,0,30000,1,0,13.25
0,0,49594,1,0,13.37
0,0,60000,1,0,2.7
0,0,76441,1,0,3.26
1,1,75000,2,1,17.75
0,0,53000,1,1,3.95
0,0,56572,1,0,9.31
0,0,27210,1,0,6.0
0,0,56000,1,1,45.75
0,0,62677,1,0,4.92
0,0,18000,1,0,7.5
0,1,35000,1,1,45.0
0,1,38000,2,1,46.21
0,1,109495,1,0,6.53
1,1,43600,2,1,11.9
0,1,30000,1,1,37.5
0,1,45240,1,0,7.34
0,0,3600,1,0,3.45
0,1,36000,1,1,2.05
0,0,59090,1,0,6.42
0,1,126000,1,1,6.5
0,0,70717,1,0,3.86
0,0,65000,1,1,47.5
0,0,73086,2,0,3.75
0,0,51690,1,0,8.52
0,1,49000,1,1,19.45
0,0,25000,1,1,49.75
0,0,23592,1,0,4.71
0,0,69000,2,0,4.9
0,0,70000,1,1,7.95
0,0,3500,1,1,1.78
0,0,64155,1,0,3.18
0,1,38000,1,1,17.49
0,0,68018,1,0,4.12
0,0,14000,1,0,19.9
0,0,29846,1,0,7.6
0,0,26092,1,0,4.5
0,0,50823,1,0,5.5
1,0,5200,1,1,69.75
0,1,36050,1,0,8.99
0,0,90932,1,1,7.86
0,1,53000,1,1,20.0
2,1,11848,2,1,39.9
0,0,73580,1,0,4.66
0,0,22600,1,1,14.9
0,1,36000,1,1,27.5
0,1,44275,1,0,6.2
0,0,52000,1,0,6.25
0,1,26000,2,1,20.0
0,0,45239,1,0,6.33
0,0,51000,2,1,21.0
0,1,102973,1,1,7.99
0,1,87000,2,1,19.0
1,0,40000,2,0,3.7
0,0,63952,2,0,3.55
0,1,58000,2,1,12.0
0,0,7000,1,1,1.12
0,0,46310,1,1,8.74
0,0,42000,1,1,16.0
0,0,94498,1,0,5.81
0,0,9300,1,1,66.0
0,1,37000,1,1,71.99
0,1,144234,1,0,5.52
0,0,48000,1,0,5.1
0,0,19000,2,1,80.0
0,0,114658,1,0,5.21
0,1,71000,1,1,12.65
0,0,8000,1,0,5.95
0,1,26000,2,1,20.0
0,0,45239,1,0,6.33
0,0,51000,2,1,21.0
0,1,102973,1,1,7.99
0,1,87000,2,1,19.0
1,0,40000,2,0,3.7
0,0,63952,2,0,3.55
0,1,58000,2,1,12.0
0,0,7000,1,1,1.12
0,0,46310,1,1,8.74
0,0,42000,1,1,16.0
0,0,94498,1,0,5.81
0,0,9300,1,1,66.0
0,1,37000,1,1,71.99
0,1,144234,1,0,5.52
0,0,48000,1,0,5.1
0,0,19000,2,1,80.0
0,0,114658,1,0,5.21
0,1,71000,1,1,12.65
0,0,8000,1,0,5.95
0,1,28000,1,1,39.9
0,0,38616,1,0,7.41
0,0,30000,1,1,21.5
0,0,33093,1,0,6.81
0,1,33000,1,1,29.0
0,1,57000,1,1,17.5
0,1,75206,1,0,6.49
1,0,40000,2,1,15.0
1,1,42000,2,1,17.6
0,0,96241,1,0,3.77
0,2,34214,1,0,12.75
0,0,55818,1,0,6.61
0,0,80000,1,1,68.0
1,2,40000,1,0,4.0
0,0,70516,1,0,3.11
0,0,48000,1,1,5.75
1,1,94000,1,1,16.9
0,0,80627,1,0,8.16
0,0,49000,1,1,5.25
0,0,19000,1,1,82.0
0,0,53311,1,0,6.75
0,0,70000,1,0,5.85
0,0,108836,1,0,4.49
0,1,40000,1,1,42.5
1,1,120000,1,0,6.0
0,0,44525,1,1,6.93
0,1,80000,1,1,26.5
0,0,64862,1,0,6.07
1,0,100000,2,0,2.95
0,0,63839,1,0,5.59
0,0,14000,1,1,81.9
1,0,50000,1,0,3.75
0,1,113820,1,0,7.89
1,1,110000,1,0,5.0
1,0,31000,1,0,8.65
0,1,97610,1,1,5.64
0,0,44000,1,1,6.25
1,1,34496,1,1,39.0
1,1,16000,1,1,1.32
0,0,75163,1,0,5.14
1,0,6900,1,0,10.25
0,0,89961,2,0,3.74
0,1,4000,1,1,54.0
0,1,54000,1,1,17.5
0,0,58740,2,1,5.99
1,1,100000,1,1,15.5
0,0,18700,1,1,83.0
0,0,83690,1,0,4.54
1,0,11000,1,1,50.0
0,0,50900,1,0,2.95
0,1,25000,1,1,64.0
0,0,78651,1,0,3.79
0,0,50000,1,0,7.5
0,0,9818,1,0,13.9
0,1,49230,1,0,8.7
